100000 1000
1 17 42
2 32 34
1 20 48
2 36 39
2 29 43
3 25 46
2 7 17
2 23 37
3 36 43
1 10 47
3 24 26
3 11 26
1 36 46
1 28 39
1 5 26
2 22 42
3 9 50
2 19 27
1 22 34
3 17 47
3 1 10
3 40 50
3 19 48
3 11 47
1 11 17
3 28 41
2 31 49
3 16 22
3 27 33
1 19 32
1 10 44
2 13 20
3 15 43
3 2 6
3 23 50
2 34 47
3 32 34
2 37 40
2 39 40
2 1 4
3 31 33
3 9 22
2 8 41
3 14 28
3 12 19
3 11 46
3 1 5
2 19 37
1 3 5
3 30 36
3 9 28
3 34 47
1 14 33
3 15 42
3 10 44
2 14 40
1 11 31
1 19 40
1 2 27
3 38 41
1 5 50
3 36 39
2 11 40
1 12 24
3 15 42
1 1 18
2 9 10
2 24 34
1 9 48
1 4 31
3 14 17
2 20 34
3 9 33
3 20 41
2 17 38
1 25 29
2 21 41
2 29 32
1 24 37
1 24 31
1 31 35
2 2 46
1 11 13
2 36 39
2 27 40
1 3 19
3 36 38
2 30 35
1 11 26
3 17 49
2 35 36
2 6 19
2 20 29
1 22 45
3 14 23
2 5 10
2 28 45
3 18 19
2 4 5
1 31 32
1 15 45
2 27 31
2 22 43
3 26 39
2 20 32
1 12 24
3 7 36
3 24 32
3 39 46
3 27 38
3 8 8
3 5 44
1 34 39
1 38 50
3 11 15
1 40 46
2 29 41
3 12 17
1 17 39
2 14 26
1 30 40
1 15 21
1 32 44
3 9 22
3 24 48
3 12 45
2 8 47
1 4 40
2 12 45
2 29 45
3 16 46
2 6 19
1 17 50
1 17 49
2 35 39
1 25 43
3 20 20
1 22 48
2 4 13
2 40 42
2 7 47
1 7 17
3 13 21
2 4 31
1 5 15
3 30 45
3 16 26
2 28 33
2 7 39
3 20 25
1 2 47
3 12 18
3 25 48
3 12 41
1 14 17
2 20 35
3 37 41
2 11 27
1 38 39
1 26 41
3 27 29
3 27 27
3 40 41
1 2 33
2 26 32
1 1 49
3 17 50
2 29 31
1 21 27
2 37 40
1 36 36
3 26 33
2 27 44
3 12 23
2 21 50
3 38 43
1 22 34
3 31 39
3 17 26
1 32 43
1 37 47
3 28 36
1 15 28
2 2 37
3 24 45
3 2 19
3 35 47
2 1 40
3 16 33
3 35 45
1 28 30
3 22 32
3 37 45
3 18 41
2 38 47
1 24 50
2 19 49
3 13 48
2 38 50
1 5 17
2 5 15
3 1 16
2 21 30
3 24 46
1 34 46
3 38 43
2 24 24
2 1 13
1 29 48
2 8 23
1 25 45
3 5 19
2 24 45
1 16 38
3 34 38
1 3 36
2 38 43
2 4 14
2 26 30
3 15 25
3 22 46
3 36 46
2 14 26
3 17 41
2 27 39
1 19 34
2 1 36
1 23 38
2 14 32
3 21 25
1 40 42
3 5 21
1 3 33
3 37 43
2 15 33
2 4 47
3 2 30
2 18 46
3 1 9
3 5 11
3 32 41
2 1 39
1 26 37
3 38 47
2 23 45
1 5 43
2 30 44
2 34 46
2 5 14
1 34 35
2 15 49
1 13 50
1 9 40
1 36 50
2 1 49
3 7 13
2 18 28
1 40 41
2 29 49
1 34 43
2 22 32
1 37 48
3 10 20
2 30 41
1 9 14
3 33 34
1 37 43
3 11 44
1 3 18
1 13 49
1 10 46
2 38 48
3 21 34
1 14 28
1 31 42
1 8 45
2 34 50
2 37 43
1 8 9
2 5 31
2 4 24
1 38 45
2 35 42
2 21 39
1 34 39
1 20 49
3 29 43
3 14 48
1 29 41
3 8 30
1 9 20
1 5 15
1 37 43
3 25 49
3 32 33
1 39 40
3 37 47
1 8 37
3 39 45
3 11 45
3 29 44
1 29 38
1 37 44
2 20 34
3 2 3
3 2 5
2 6 21
2 26 46
3 13 14
1 15 26
1 27 34
3 35 47
2 14 47
1 40 50
3 6 45
2 25 31
3 4 6
3 5 38
1 39 45
3 34 42
3 6 47
2 25 44
1 1 18
2 8 44
1 4 30
1 5 37
1 4 45
2 31 46
1 24 32
1 17 37
2 40 50
3 19 37
1 19 29
1 14 18
1 32 43
2 26 42
2 24 28
3 14 15
1 7 11
1 10 21
1 15 36
3 25 41
1 40 40
3 15 48
3 12 20
3 31 42
1 17 19
3 14 29
1 38 40
3 17 26
2 8 47
2 7 23
1 20 27
2 17 41
1 4 43
2 30 30
3 23 26
3 37 50
1 26 44
3 14 45
3 30 49
1 32 44
3 6 19
2 33 46
2 5 40
1 25 34
3 37 41
3 29 40
2 3 9
1 25 40
3 21 22
1 10 33
3 36 39
1 14 39
3 26 31
3 23 27
2 20 35
1 25 45
1 13 31
2 11 35
1 23 43
1 19 45
2 35 36
2 16 48
2 28 28
3 31 31
1 11 17
1 13 47
2 38 40
2 11 46
3 4 21
3 13 19
1 28 49
3 38 50
2 12 32
3 13 41
1 27 42
1 25 25
2 22 35
3 27 35
2 21 46
2 30 31
1 3 21
3 33 35
1 14 25
